api,og_code,district,county,county_no,ofcu_well_priority,operator_name,operator_no,lease_name,lease_no,well_no,field_name,field_no,sfp_code,ice_inspection_date,ice_inspection_id,sb639_enf,sb639_r15,months_delinquent,oil_unit_no,water_land_code,multi_comp_flag,api_depth,wb_shutin_dt,well_shutin_dt,wb_14b2_flag,well_type_name,plug_date,plug_lease_name,plug_operator_name,recent_permit,recent_permit_lease_name,recent_permit_operator_no,on_schedule,og_wellbore_ewa_id,w2g1_filed_date,w2g1_date,completion_date,w3_file_date,p5_renewal_month,p5_renewal_year,p5_org_status,current_inactive_yrs,current_inactive_months,wl_14b2_ext_status,wl_14b2_mech_integ,wl_14b2_plg_ord_sf,wl_14b2_pollution,wl_14b2_fldops_hold,wl_14b2_h15_prob,wl_14b2_h15_delq,wl_14b2_oper_delq,wl_14b2_dist_sfp,wl_14b2_dist_sf_clnup,wl_14b2_dist_st_plg,wl_14b2_good_faith,wl_14b2_well_other,surf_eqp_viol,w3x_viol,h15_status_code
34130621,O,10,MOORE,341,3,"NEW-TEX OPERATING, LLC",606154,THOMPSON -26-,06849,8R,PANHANDLE (RED CAVE),68825800,275236,2021-02-05,741458,Enf,Rule 15,49,,L,,2520,200612,200612,Y,SHUT IN,,THOMPSON -26-,NEW-TEX OPERATING  LLC,096588,THOMPSON -26-,606154,Y,4828130476,19920728,19920707,19920401,,1,2022,D,14,6,D, , , , , ,X,O,,,,,,,,D
33930704,O,03,MONTGOMERY,339,2H,"BLACK JACK SERVICES, L.L.C.",072704,CHAMPION,20941,1,"SPLENDORA, EAST (7000 YEGUA)",85246875,,2019-03-14,451370,Enf,Rule 15,73,,L,,7516,200504,200504,Y,NO PRODUCTION,,CHAMPION,BLACK JACK SERVICES  L.L.C.,380979,CHAMPION,072704,Y,4828129586,19910401,,,,4,2022,D,16,2,D, , , , , ,X,O,,,,,,,,D
33930854,G,03,MONTGOMERY,339,2H,"VELOCITY OIL AND GAS, LLC",884469,KEMPERS,138664,1,DECKERS PRAIRIE (WILCOX-GRAHAM),23861907,231786,2020-05-29,636693,,Rule 15,68,,L,,12819,200002,200002,Y,TEMP ABANDONED,,KEMPERS,VELOCITY OIL AND GAS  LLC,381574,KEMPERS,884469,Y,4828129647,19920515,19920317,19910301,,9,2021,D,21,4,D, , , , , ,X,O,,,,,,,,D
34130018,O,10,MOORE,341,3,PETRO HALEY,660062,SNEED,03633,3,PANHANDLE MOORE COUNTY FIELD,68901001,272381,2021-01-07,728948,Enf,Rule 15,54,,L,,3625,200810,200810,Y,SHUT IN,,SNEED,PETRO HALEY,,SNEED,660062,Y,4828130268,19840112,19691014,19690823,,10,2021,D,12,8,D, , , , , ,X,O,,,,,,,,D
34130019,O,10,MOORE,341,3,PETRO HALEY,660062,SNEED,03633,4,PANHANDLE MOORE COUNTY FIELD,68901001,272381,2020-08-31,678235,Enf,Rule 15,54,,L,,3600,199801,199801,Y,SHUT IN,,SNEED,PETRO HALEY,,SNEED,660062,Y,4828130269,19840112,19691113,19690902,,10,2021,D,23,5,D, , , , , ,X,O,,,,,,,,D
34130024,O,10,MOORE,341,2H,PETRO HALEY,660062,SNEED,03633,5,PANHANDLE MOORE COUNTY FIELD,68901001,272381,2020-08-31,678235,Enf,Rule 15,54,,L,,3653,199801,199801,Y,SHUT IN,,SNEED,PETRO HALEY,,SNEED,660062,Y,4828130271,19840112,19700311,19691112,,10,2021,D,23,5,D, , , , , ,X,O,,,,,,,,D
34731253,G,06,NACOGDOCHES,347,,FULLSPIKE ENERGY LLC,289935,BLAKE ESTATE,112449,1,T.J. (TRAVIS PEAK),87989500,,2021-01-07,728522,Enf,Rule 15,16,,L,,11174,201703,201703,Y,TEMP ABANDONED,,BLAKE ESTATE,FULLSPIKE ENERGY LLC,223295,BLAKE ESTATE,289935,Y,4828132757,19840921,19840705,19840529,,3,2022,D,4,3,D, , , , , ,X,O,,,,,,,,D
34132225,O,10,MOORE,341,2,"NEW-TEX OPERATING, LLC",606154,THOMPSON -26-,06849,9R,PANHANDLE (RED CAVE),68825800,275236,2021-02-05,741458,Enf,Rule 15,49,,L,,2272,201212,201212,Y,SHUT IN,,THOMPSON -26-,NEW-TEX OPERATING  LLC,394257,THOMPSON -26-,606154,Y,4828131031,19920625,19920617,19920401,,1,2022,D,8,6,D, , , , , ,X,O, , , , , , ,W,D
34730084,G,06,NACOGDOCHES,347,3,"SDG OPERATING COMPANY, INC",740176,TEXAS FARM PRODUCTS,059717,1,"DOUGLASS, W. (TRAVIS PEAK)",25864471,,2020-09-24,690321,,,60,,L,,10272,199801,199801,Y,PRODUCING,,TEXAS FARM PRODUCTS,SDG OPERATING COMPANY  INC,,TEXAS FARM PRODUCTS,740176,Y,4828132590,19840112,19741009,19740829,,8,2021,D,23,5,D, , , , , ,X,O,,,,,,,,D
34730128,G,06,NACOGDOCHES,347,,"WEATHERLY OIL & GAS, LLC",902815,FOSHEE GAS UNIT,077149,1,NACONICHE CREEK (ROD.-TP CONS.),64300287,,2019-10-28,541620,Enf,,21,,L,,8500,200903,200903,Y,PRODUCING,,FOSHEE GAS UNIT,WEATHERLY OIL & GAS  LLC,,FOSHEE GAS UNIT,902815,Y,4828132607,19840112,19780616,19770816,,9,2021,D,12,3,D, , , , , ,X,O,,,,,,,,D
34730547,G,06,NACOGDOCHES,347,,"WEATHERLY OIL & GAS, LLC",902815,COHEN,150845,1,"NACONICHE CREEK, E. (PETTIT I)",64301675,,2019-10-25,541332,Enf,,21,,L,Y,8605,201910,201910,Y,PRODUCING,,COHEN,WEATHERLY OIL & GAS  LLC,426198,COHEN,902815,Y,4828132661,19941115,19940725,19940623,,9,2021,D,1,8,,,,,,,,,,,,,,,,
34730656,G,06,NACOGDOCHES,347,,"WEATHERLY OIL & GAS, LLC",902815,HARTT GAS UNIT,097203,1,NACONICHE CREEK (ROD.-TP CONS.),64300287,,2020-08-04,665282,Enf,,21,,L,,9095,201903,201903,Y,TEMP ABANDONED,,HARTT GAS UNIT,WEATHERLY OIL & GAS  LLC,139470,HARTT GAS UNIT,902815,Y,4828132689,20080304,20071119,20071101,,9,2021,D,2,3,D, , , , , , ,O,,,,,,,,
34730761,G,06,NACOGDOCHES,347,,"WEATHERLY OIL & GAS, LLC",902815,WILLIAM GAS UNIT,198188,1,NACONICHE CREEK (ROD.-TP CONS.),64300287,,2019-10-23,540170,Enf,,21,,L,,8970,201004,201004,Y,TEMP ABANDONED,,WILLIAM GAS UNIT,WEATHERLY OIL & GAS  LLC,525234,WILLIAM GAS UNIT,902815,Y,4828132708,20040122,20031112,20030929,,9,2021,D,11,2,D, , , , , , ,O,,,,,,,,
34730869,G,06,NACOGDOCHES,347,,"WEATHERLY OIL & GAS, LLC",902815,FOSHEE GAS UNIT,109597,2L,NACONICHE CREEK (ROD.-TP CONS.),64300287,,2020-10-29,706600,Enf,,21,,L,Y,8853,201208,201208,Y,TEMP ABANDONED,,FOSHEE GAS UNIT,WEATHERLY OIL & GAS  LLC,176675,FOSHEE GAS UNIT,902815,Y,4828132722,20070315,20061115,19840301,,9,2021,D,8,10,D, , , , , ,X,O,,,,,,,,D
34730932,G,06,NACOGDOCHES,347,3,"DANIELS CORPORATION, THE",199400,GRAFTON,105037,1,TRAWICK (PETTIT),90998332,14680,2020-10-27,706489,Enf,,253,,L,,9080,199812,199812,Y,TEMP ABANDONED,,GRAFTON,DANIELS CORPORATION  THE,211708,GRAFTON,199400,Y,4828132730,19860604,19860516,19860505,,2,2022,D,22,6,D, , , , , ,X,O,,,,,,,,D
34180174,G,10,MOORE,341,,OIL MANAGEMENT CORPORATION,620480,REEDER,023683,A1,"PANHANDLE, WEST",68831001,,2020-11-06,708339,Enf,,49,,L,,4164,201612,201612,Y,TEMP ABANDONED,,REEDER,OIL MANAGEMENT CORPORATION,,REEDER,620480,Y,4828132093,19840112,,,,5,2022,D,4,6,D, , , , , ,X,O,,,,,,,,D
34731422,G,06,NACOGDOCHES,347,,"WEATHERLY OIL & GAS, LLC",902815,ANASTASIA,202914,1,NACONICHE CREEK (ROD.-TP CONS.),64300287,,2019-10-29,542584,Enf,,21,,L,,9150,200904,200904,Y,TEMP ABANDONED,,ANASTASIA,WEATHERLY OIL & GAS  LLC,541737,ANASTASIA,902815,Y,4828132825,20060621,20060308,20040524,,9,2021,D,12,2,D, , , , , , ,O,,,,,,,,
34731560,G,06,NACOGDOCHES,347,,"WEATHERLY OIL & GAS, LLC",902815,BOATMAN GAS UNIT,200605,1,NACONICHE CREEK (ROD.-TP CONS.),64300287,,2019-10-23,539819,Enf,,21,,L,,8500,200407,200407,Y,TEMP ABANDONED,,BOATMAN GAS UNIT,WEATHERLY OIL & GAS  LLC,515687,BOATMAN GAS UNIT,902815,Y,4828132855,20040803,20040305,20020203,,9,2021,D,16,11,D, , , , , ,X,O,,,,,,,,D
34730964,G,06,NACOGDOCHES,347,,"WEATHERLY OIL & GAS, LLC",902815,PETERSON GAS UNIT,113433,2,NACONICHE CREEK (ROD.-TP CONS.),64300287,,2020-09-09,682982,Enf,,21,,L,,9304,200903,200903,Y,TEMP ABANDONED,,PETERSON GAS UNIT,WEATHERLY OIL & GAS  LLC,187895,PETERSON GAS UNIT,902815,Y,4828132735,20060818,20060321,19841025,,9,2021,D,12,3,D, , , , , ,X,O,,,,,,,,D
34731000,G,06,NACOGDOCHES,347,,"WEATHERLY OIL & GAS, LLC",902815,MCFADDIN,109563,1C,"NACONICHE CREEK, W. (PETTIT)",64305500,,2020-09-16,686455,Enf,,21,,L,Y,8856,200906,200906,Y,TEMP ABANDONED,,MCFADDIN,WEATHERLY OIL & GAS  LLC,193075,MCFADDIN,902815,Y,4828132737,19840627,19840611,19830705,,9,2021,D,12,0,D, , , , , ,X,O,,,,,,,,D
34731640,G,06,NACOGDOCHES,347,,"WEATHERLY OIL & GAS, LLC",902815,MARY BETH,166373,1,NACONICHE CREEK (ROD.-TP CONS.),64300287,,2019-10-24,540726,Enf,,21,,L,,7870,201612,201612,Y,TEMP ABANDONED,,MARY BETH,WEATHERLY OIL & GAS  LLC,458216,MARY BETH,902815,Y,4828132882,20151012,20140501,20140404,,9,2021,D,4,6,D,H, , , , , ,O,,,,,,,,
34731652,G,06,NACOGDOCHES,347,,"DEEP ROCK RESOURCES, INC.",209651,MILLER GAS UNIT,168155,1,NACONICHE CREEK (ROD.-TP CONS.),64300287,,2020-08-26,676520,Enf,,30,,L,,8530,201704,201704,Y,TEMP ABANDONED,,MILLER GAS UNIT,DEEP ROCK RESOURCES  INC.,469735,MILLER GAS UNIT,209651,Y,4828132892,19980612,19980413,19980309,,11,2021,D,4,2,D, , , , , , ,O,,,,,,,,
34731655,G,06,NACOGDOCHES,347,,"WEATHERLY OIL & GAS, LLC",902815,NACONICHE CREEK,198359,1,"NACONICHE CREEK, W. (TRAVIS PK.)",64305750,,2020-09-21,688434,Enf,,21,,L,,9100,200612,200612,Y,TEMP ABANDONED,,NACONICHE CREEK,WEATHERLY OIL & GAS  LLC,532011,NACONICHE CREEK,902815,Y,4828132894,20040205,20031029,20030922,,9,2021,D,14,6,D, , , , , , ,O,,,,,,,,
34731661,G,06,NACOGDOCHES,347,,"WEATHERLY OIL & GAS, LLC",902815,ADAMS GAS UNIT,173357,1,NACONICHE CREEK (ROD.-TP CONS.),64300287,,2019-10-23,539826,Enf,,21,,L,,9300,201908,201908,Y,TEMP ABANDONED,,ADAMS GAS UNIT,WEATHERLY OIL & GAS  LLC,481214,ADAMS GAS UNIT,902815,Y,4828132896,20060413,20060112,19990214,,9,2021,D,1,10,,,,,,,,,,,,,,,,
34731662,G,06,NACOGDOCHES,347,,"WEATHERLY OIL & GAS, LLC",902815,FLORENE,173996,1,NACONICHE CREEK (ROD.-TP CONS.),64300287,,2020-11-05,708241,Enf,,21,,L,,9300,201301,201301,Y,TEMP ABANDONED,,FLORENE,WEATHERLY OIL & GAS  LLC,481872,FLORENE,902815,Y,4828132897,20060818,20060316,19990327,,9,2021,D,8,5,D, , , , , , ,O,,,,,,,,
34731665,G,06,NACOGDOCHES,347,,"WEATHERLY OIL & GAS, LLC",902815,ADAMS GAS UNIT,179816,2,NACONICHE CREEK (ROD.-TP CONS.),64300287,,2019-10-23,539813,Enf,,21,,L,,7785,201910,201910,Y,TEMP ABANDONED,,ADAMS GAS UNIT,WEATHERLY OIL & GAS  LLC,489545,ADAMS GAS UNIT,902815,Y,4828132900,20060413,20060112,20000817,,9,2021,D,1,8,,,,,,,,,,,,,,,,
34731680,G,06,NACOGDOCHES,347,,"WEATHERLY OIL & GAS, LLC",902815,ADAMS GAS UNIT,181378,3,NACONICHE CREEK (ROD.-TP CONS.),64300287,,2020-09-23,689959,Enf,,21,,L,,9000,201512,201512,Y,TEMP ABANDONED,,ADAMS GAS UNIT,WEATHERLY OIL & GAS  LLC,499725,ADAMS GAS UNIT,902815,Y,4828132911,20010511,20010305,20010224,,9,2021,D,5,6,D, , , , , , ,O,,,,,,,,
34731681,G,06,NACOGDOCHES,347,,"WEATHERLY OIL & GAS, LLC",902815,SCROGGINS GAS UNIT,188863,2,NACONICHE CREEK (ROD.-TP CONS.),64300287,,2019-10-25,540924,Enf,,21,,L,,9070,201910,201910,Y,TEMP ABANDONED,,SCROGGINS GAS UNIT,WEATHERLY OIL & GAS  LLC,500281,SCROGGINS GAS UNIT,902815,Y,4828132912,20060818,20060313,20020426,,9,2021,D,1,8,,,,,,,,,,,,,,,,
