district,api,ofcu_well_priority,operator_name,operator_no,lease_name,lease_no,well_no,bonded_depth,field_name,county,sfp_code,ice_inspection_date,ice_inspection_id,sb639_enf,sb639_r15,months_delinquent
08,37120010,2H,"BUSTOS, MARTIN OIL",112687,HINYARD,23088,7,,HINYARD (QUEEN),PECOS,251536,2020-11-05,708087,Enf,,76
01,32332659,,"ASHTOLA EXPLORATION COMPANY,INC.",035060,ALKEK,197031,16,,M.F. JAKE LAWLESS (GEORGETOWN),MAVERICK,,,,Enf,,51
06,34732409,,"WEATHERLY OIL & GAS, LLC",902815,LUNSFORD,230559,2,,NACONICHE CREEK (ROD.-TP CONS.),NACOGDOCHES,,2019-10-25,540991,Enf,,21
06,34731704,,"WEATHERLY OIL & GAS, LLC",902815,BARFIELD,189682,1,,OAK CREEK (JAMES LIME),NACOGDOCHES,,2021-01-19,733483,Enf,,21
7B,05931126,3,KYTEX PETROLEUM CO.,479150,"FRANCE, W. M.",30475,1,,WILDCAT,CALLAHAN,,2020-11-02,706792,,,303
06,20320051,2H,"LONGLEAF PRODUCTION, LLC",508460,RUDD -C-,04883,4,,LONGWOOD (GOODLAND LIME),HARRISON,258737,2019-10-08,533113,,,169
06,41930783,,"PG-M INTERNATIONAL OPERATING,LLC",631795,SAVELL -A-,192212,1H,,"MARTINSVILLE, SE. (JAMES)",SHELBY,,2020-12-14,721333,,,18
06,41930817,,"PG-M INTERNATIONAL OPERATING,LLC",631795,SAVELL -C-,192215,3H,,"MARTINSVILLE, SE. (JAMES)",SHELBY,,2020-12-14,721343,,,18
10,17907762,,"PG-M INTERNATIONAL OPERATING,LLC",631795,MEERS,023252,1,,"PANHANDLE, WEST",GRAY,,2020-10-05,694758,,,18
08,38932682,4,"BISON EXPLORATION DRILLING 1, LP",072515,DIXIELAND NORTH UNIT,47677,401,16739,"DIXIELAND (ATOKA, U.)",REEVES,,2020-03-05,596380,,Rule 15,34
10,17900784,,"PG-M INTERNATIONAL OPERATING,LLC",631795,LEOPOLD -C-,01645,5,,PANHANDLE GRAY COUNTY FIELD,GRAY,,2021-01-27,737230,,,18
8A,10130423,3,"SEQUOIA NATURAL GAS, INC.",767543,BEARDEN,117710,2,6650,"CHALK, N. (ATOKA CONGL.)",COTTLE,,2020-12-16,722580,Enf,Rule 15,38
02,29732416,2H,TIDEWATER MINERALS CORPORATION,859552,DOLAN,102613,1A,10850,DOLAN (HOSTETTER),LIVE OAK,,2018-05-22,343316,Enf,Rule 15,80
10,06500962,,"PG-M INTERNATIONAL OPERATING,LLC",631795,KARCAT,02304,3,,PANHANDLE CARSON COUNTY FIELD,CARSON,,2021-01-04,726762,,,18
10,06504134,,"PG-M INTERNATIONAL OPERATING,LLC",631795,BURK,02475,1,,PANHANDLE CARSON COUNTY FIELD,CARSON,,2020-03-05,594897,,,18
10,17900748,,"PG-M INTERNATIONAL OPERATING,LLC",631795,LEOPOLD -C-,01645,4,,PANHANDLE GRAY COUNTY FIELD,GRAY,,2021-01-27,737230,,,18
