og_code,operator_name,operator_no,lease_name,lease_no,well_no,api,district,county,field_name,field_no,oil_unit_no,water_land_code,api_depth,shutin_dt,well_plugged,cost_calc,compliance_due_date,orig_completion,ice_inspection_date,ice_inspection_id,sfp_code,ofcu_well_priority,sb639_enf,sb639_r15,months_delinquent,p5_renewal_month,p5_renewal_year,p5_originating_status,current_5yr_inactive,current_10yr_inactive,aged_5yr_inactive,aged_10yr_inactive,current_inactive_yrs,current_inactive_months,aged_inactive_yrs,aged_inactive_months,extension_status,ext_data_h,ext_data_e,ext_data_p,ext_data_f,ext_data_v,ext_data_x,ext_data_o,ext_data_t,ext_data_m,ext_data_k,ext_data_r,ext_data_q,ext_data_s,ext_data_w
O,"RADIUS OPERATING, LLC",687835,"#1 RAYBURN UNIT """"A""""",13614,1,24130621,06,JASPER,"BROOKELAND (AUSTIN CHALK, 8800)",12193500,,L,13694,2013-02-15,f,108593,,1996-07-08,2016-11-16,160212,241978,2,Enf,Rule 15,73,3,2022,D,t,f,t,f,8,3,9,1,D,f,f,f,f,f,f,t,f,f,f,t,f,f,f
G,"WEATHERLY OIL & GAS, LLC",902815,ADAMS GAS UNIT,173357,1,34731661,06,NACOGDOCHES,NACONICHE CREEK (ROD.-TP CONS.),64300287,,L,9300,2019-08-15,f,73749,,1999-02-14,2019-10-23,539826,,,Enf,,21,9,2021,D,f,f,f,f,1,9,2,1,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
G,"WEATHERLY OIL & GAS, LLC",902815,ADAMS GAS UNIT,179816,2,34731665,06,NACOGDOCHES,NACONICHE CREEK (ROD.-TP CONS.),64300287,,L,7785,2019-10-15,f,61735,,2000-08-17,2019-10-23,539813,,,Enf,,21,9,2021,D,f,f,f,f,1,7,1,11,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
G,"WEATHERLY OIL & GAS, LLC",902815,ADAMS GAS UNIT,183031,4,34731701,06,NACOGDOCHES,NACONICHE CREEK (ROD.-TP CONS.),64300287,,L,8950,2019-10-15,f,70974,,2001-05-24,2021-01-29,738475,,,Enf,,21,9,2021,D,f,f,f,f,1,7,1,11,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
G,"WEATHERLY OIL & GAS, LLC",902815,ADAMS GAS UNIT,226405,10,34732429,06,NACOGDOCHES,NACONICHE CREEK (ROD.-TP CONS.),64300287,,L,9227,2019-10-15,f,73170,,2007-01-27,2021-01-29,738474,,,Enf,,21,9,2021,D,f,f,f,f,1,7,1,11,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
O,"ANATEXAS OFFSHORE, INC.",020599,ALEXANDER DRILLING UNIT,26056,1,28732579,03,LEE,GIDDINGS (AUSTIN CHALK-3),34733500,,L,6000,2015-06-15,f,83580,,2010-10-08,2021-01-14,731445,251516,2H,Enf,,82,1,2022,D,t,f,t,f,5,11,6,7,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
O,"RUSSELL - FT. TRINIDAD OP., LLC",736715,ALLYENE RUSSELL,14876,1,18331208,06,GREGG,LIBERTY CITY (PETTIT),53500500,,L,8445,2015-08-15,f,66969,,2009-02-06,2020-03-09,595739,276796,2,,,70,9,2021,D,t,f,t,f,5,9,6,1,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
O,"MONTECRISTO EXPLORATION, INC.",577151,ALONZO LOPEZ,14034,9288,50536576,04,ZAPATA,ELENTERIO (COLE SAND),28319500,,L,2500,2015-05-15,f,20800,,2012-05-15,2020-12-04,717431,238296,3,Enf,Rule 15,65,9,2021,D,t,f,t,f,6,0,6,4,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
G,"WEATHERLY OIL & GAS, LLC",902815,ANASTASIA,225457,2,34732351,06,NACOGDOCHES,NACONICHE CREEK (ROD.-TP CONS.),64300287,,L,9400,2019-10-15,f,74542,,2007-01-13,2019-12-03,555794,,,Enf,,21,9,2021,D,f,f,f,f,1,7,1,11,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
O,"SR OIL AND GAS, L.L.C.",810831,"BAIN, F. L.",11788,2,49331987,01,WILSON,"PANDORA, NW (AUSTIN CHALK)",68812600,,L,5310,2013-12-15,f,59153,,1987-04-30,2020-11-16,710901,,2H,,,87,3,2022,D,t,f,t,f,7,5,8,3,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
