DISTRICT_NAME,COUNTY_NAME,FIELD_NAME,OPERATOR_NAME,OPERATOR_NO,LEASE_NAME,OG_CODE,LEASE_ID,WELL_NO,API,WB_Months_Inactive
01,ATASCOSA,"ANCHORAGE, SOUTH","HAILEY, E. M.",342800,"FOWLER, SAN J.",G,000002,1,1300361,279
01,MCMULLEN,"CALLIHAM, SOUTH (JACKSON)",TROTTER-HOWLING & HATTAWAY,871290,"CLAUNCH, B. C.",G,000087,3,31100693,279
09,ARCHER,ARCHER COUNTY REGULAR,"PRICE, W. W. LUMBER COMPANY",676940,"ANDREWS, M. P. -B-",O,00009,1,00980018,279
01,MCMULLEN,"CALLIHAM, SOUTH (1100)","ELBO CO., THE",246610,"WHITMIRE, W. A.",G,000091,1,31100692,279
01,MCMULLEN,"CAMPANA, SOUTH(GOVT. WELLS 2600)",G. & M. ENERGY COMPANY,292290,"HARRIS, L.",G,000099,1,31102162,279
09,ARCHER,ARCHER COUNTY REGULAR,MSB OPERATING,518696,COWAN & MCKINNEY,O,00011,9,00980026,48
09,ARCHER,ARCHER COUNTY REGULAR,MSB OPERATING,518696,COWAN & MCKINNEY,O,00011,11,00980028,48
09,ARCHER,ARCHER COUNTY REGULAR,MSB OPERATING,518696,COWAN & MCKINNEY,O,00011,3 L,00980021,48
09,ARCHER,ARCHER COUNTY REGULAR,MSB OPERATING,518696,COWAN & MCKINNEY,O,00011,4 L,00980022,48
09,ARCHER,ARCHER COUNTY REGULAR,MSB OPERATING,518696,COWAN & MCKINNEY,O,00011,6 L,00933880,48
09,ARCHER,ARCHER COUNTY REGULAR,MSB OPERATING,518696,COWAN & MCKINNEY,O,00011,7 L,00933881,48
09,ARCHER,ARCHER COUNTY REGULAR,MSB OPERATING,518696,COWAN & MCKINNEY,O,00011,8 L,00934564,207
09,ARCHER,ARCHER COUNTY REGULAR,MSB OPERATING,518696,COWAN & MCKINNEY,O,00011,4LB,00940179,72
01,BEXAR,FAIRFIELD (1100),"HINDS, W. L.",389125,"FRIAR, O. L.",G,000186,1,02901861,279
01,BEXAR,FAIRFIELD (1100),"JOHNSON, J. R.",436750,ROEGLEIN PACKING COMPANY,G,000187,1,02980001,279
08,PECOS,ABELL,"ROCA PRODUCTION, INC.",722193,STATE SILVERMAN,O,00021,4,37105352,82
01,LA SALLE,FORT EWELL (WILCOX -A-),"TAYLOR, J. M.",837790,"COQUAT, HENDERSON",G,000258,1,28300382,279
01,MEDINA,BEAR CREEK,LR PETROLEUM,511729,RUSKIN,O,00026,1,32501477,142
